id,x[m],y[m],z[m],t[s]
1,1,0,1.5,0
1,0.5,-1,1.5,3
1,-0.5,-1,1.5,6
1,-1,0,1.5,9
1,-0.5,1,1.5,12
1,0.5,1,1.5,15
1,1,0,1.5,18
2,1,0,1.5,3
2,0.5,-1,1.5,6
2,-0.5,-1,1.5,9
2,-1,0,1.5,12
2,-0.5,1,1.5,15
2,0.5,1,1.5,18
2,1,0,1.5,21
3,1,0,1.5,6
3,0.5,-1,1.5,9
3,-0.5,-1,1.5,12
3,-1,0,1.5,15
3,-0.5,1,1.5,18
3,0.5,1,1.5,21
3,1,0,1.5,24
4,1,0,1.5,9
4,0.5,-1,1.5,12
4,-0.5,-1,1.5,15
4,-1,0,1.5,18
4,-0.5,1,1.5,21
4,0.5,1,1.5,24
4,1,0,1.5,27
5,1,0,1.5,12
5,0.5,-1,1.5,15
5,-0.5,-1,1.5,18
5,-1,0,1.5,21
5,-0.5,1,1.5,24
5,0.5,1,1.5,27
5,1,0,1.5,30
1,0.5,-1,0,21
2,-0.5,-1,0,24
3,-1,0,0,27
4,-0.5,1,0,30
5,0.5,1,0,33
2,-0.5,-1,0.5,0
3,-1,0,0.5,0
4,-0.5,1,0.5,0
5,0.5,1,0.5,0
